School,State Overall Score,Better Education Percentile,English,Maths,Total Enrolments,Trend / Compare,Locality,Sector,SES
"Holy Cross Primary School,Glenwood,NSW,2768",91,22%,5,4,390,Trend / Compare,"Glenwood,NSW,2768",Non-government,95
"Orange Grove Public School,Leichhardt,NSW,2040",91,22%,5,4,500,Trend / Compare,"Leichhardt,NSW,2040",Government,95
"Bexley North Public School,Bexley,NSW,2207",91,22%,5,4,440,Trend / Compare,"Bexley,NSW,2207",Government,87
"Elanora Heights Public School,Elanora Heights,NSW,2101",91,22%,5,3,490,Trend / Compare,"Elanora Heights,NSW,2101",Government,90
"Holy Innocents Primary School,Croydon,NSW,2132",91,22%,5,4,150,Trend / Compare,"Croydon,NSW,2132",Non-government,95
"Ultimo Public School,Ultimo,NSW,2007",91,22%,5,4,440,Trend / Compare,"Ultimo,NSW,2007",Government,90
"St Kevin's Catholic Primary School,Dee Why,NSW,2099",91,23%,5,4,170,Trend / Compare,"Dee Why,NSW,2099",Non-government,91
"Father John Therry Catholic Primary School,Balmain,NSW,2041",91,23%,5,4,320,Trend / Compare,"Balmain,NSW,2041",Non-government,96
"Gymea North Public School,Gymea,NSW,2227",91,23%,4,4,350,Trend / Compare,"Gymea,NSW,2227",Government,74
"St Pius' Catholic Primary School,Enmore,NSW,2042",91,23%,5,4,130,Trend / Compare,"Enmore,NSW,2042",Non-government,89
"Our Lady of the Rosary Primary School,Fairfield,NSW,2165",91,23%,5,4,690,Trend / Compare,"Fairfield,NSW,2165",Non-government,49
"Annandale Public School,Annandale,NSW,2038",91,23%,4,4,400,Trend / Compare,"Annandale,NSW,2038",Government,95
"Oyster Bay Public School,Oyster Bay,NSW,2225",91,23%,4,4,420,Trend / Compare,"Oyster Bay,NSW,2225",Government,91
"St Columba's Catholic Primary School,Leichhardt North,NSW,2040",91,23%,5,4,200,Trend / Compare,"Leichhardt North,NSW,2040",Non-government,96
"Heathcote Public School,Heathcote,NSW,2233",91,23%,5,4,320,Trend / Compare,"Heathcote,NSW,2233",Government,78
"St Andrew's Primary School,Marayong,NSW,2148",91,23%,4,4,710,Trend / Compare,"Marayong,NSW,2148",Non-government,82
"Homebush Public School,Homebush,NSW,2140",91,23%,5,4,510,Trend / Compare,"Homebush,NSW,2140",Government,95
"Australian Islamic College of Sydney,Mount Druitt,NSW,2770",91,23%,5,3,1340,Trend / Compare,"Mount Druitt,NSW,2770",Non-government,85
"William Carey Christian School,Prestons,NSW,2170",91,23%,5,4,1210,Trend / Compare,"Prestons,NSW,2170",Non-government,95
"Auburn North Public School,Auburn,NSW,2144",91,23%,5,3,630,Trend / Compare,"Auburn,NSW,2144",Government,49
"Georges River Grammar,Georges Hall,NSW,2198",91,23%,5,4,880,Trend / Compare,"Georges Hall,NSW,2198",Non-government,95
"Winston Heights Public School,Winston Hills,NSW,2153",91,23%,5,4,380,Trend / Compare,"Winston Hills,NSW,2153",Government,90
"Good Shepherd Catholic Primary School,Hoxton Park,NSW,2171",91,24%,5,3,450,Trend / Compare,"Hoxton Park,NSW,2171",Non-government,68
"Our Lady of Lourdes Catholic Primary School,Earlwood,NSW,2206",91,24%,5,4,350,Trend / Compare,"Earlwood,NSW,2206",Non-government,95
"Menai Public School,Menai,NSW,2234",91,24%,5,4,120,Trend / Compare,"Menai,NSW,2234",Government,60
"Rosehill Public School,Rosehill,NSW,2142",91,24%,5,4,640,Trend / Compare,"Rosehill,NSW,2142",Government,76
"St Mary's Catholic Primary School,Georges Hall,NSW,2198",91,24%,5,4,380,Trend / Compare,"Georges Hall,NSW,2198",Non-government,72
"Bilpin Public School,Bilpin,NSW,2758",91,24%,4,4,60,Trend / Compare,"Bilpin,NSW,2758",Government,70
"Maroubra Junction Public School,Maroubra,NSW,2035",91,24%,4,4,490,Trend / Compare,"Maroubra,NSW,2035",Government,95
"St Mark's Coptic Orthodox College,Wattle Grove,NSW,2173",91,24%,5,4,780,Trend / Compare,"Wattle Grove,NSW,2173",Non-government,95
"Newtown Public School,Newtown,NSW,2042",91,24%,5,3,370,Trend / Compare,"Newtown,NSW,2042",Government,96
"Oatlands Public School,Oatlands,NSW,2117",90,24%,5,4,190,Trend / Compare,"Oatlands,NSW,2117",Government,86
"Berowra Public School,Berowra,NSW,2081",90,24%,4,4,350,Trend / Compare,"Berowra,NSW,2081",Government,86
"Sacred Heart School,Cabramatta,NSW,2166",90,25%,5,3,590,Trend / Compare,"Cabramatta,NSW,2166",Non-government,52
"St John Vianney's Primary School,Doonside,NSW,2767",90,25%,5,3,380,Trend / Compare,"Doonside,NSW,2767",Non-government,83
"Terrey Hills Public School,Terrey Hills,NSW,2084",90,25%,4,4,210,Trend / Compare,"Terrey Hills,NSW,2084",Government,91
"Newport Public School,Newport,NSW,2106",90,25%,5,3,630,Trend / Compare,"Newport,NSW,2106",Government,92
"Tower Street Public School,Panania,NSW,2213",90,25%,5,4,170,Trend / Compare,"Panania,NSW,2213",Government,46
"Glenfield Public School,Glenfield,NSW,2167",90,25%,5,3,450,Trend / Compare,"Glenfield,NSW,2167",Government,78
"Tempe Public School,Tempe,NSW,2044",90,25%,4,4,330,Trend / Compare,"Tempe,NSW,2044",Government,94
"St John's Catholic Primary School,Auburn,NSW,2144",90,25%,4,4,320,Trend / Compare,"Auburn,NSW,2144",Non-government,57
"Mary Immaculate Primary School,Quakers Hill,NSW,2763",90,25%,5,3,630,Trend / Compare,"Quakers Hill,NSW,2763",Non-government,87
"Northbourne Public School,Marsden Park,NSW,2765",90,25%,4,4,1310,Trend / Compare,Marsden Park NSW 2765,Government,93
"Sacred Heart Primary School,Westmead,NSW,2145",90,25%,4,4,190,Trend / Compare,"Westmead,NSW,2145",Non-government,93
"Enfield Public School,Enfield,NSW,2136",90,25%,4,4,250,Trend / Compare,"Enfield,NSW,2136",Government,82
"Cromer Public School,Cromer,NSW,2099",90,25%,5,3,560,Trend / Compare,"Cromer,NSW,2099",Government,87
"St John The Baptist Catholic Primary School,Freshwater,NSW,2096",90,25%,4,4,210,Trend / Compare,"Freshwater,NSW,2096",Non-government,96
"St Paul the Apostle Primary School,Winston Hills,NSW,2153",90,25%,5,3,390,Trend / Compare,"Winston Hills,NSW,2153",Non-government,95
